Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Hungary,HUN,Population growth (annual %),SP.POP.GROW,-0.265860932255517
Hungary,HUN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.68685015777433
Hungary,HUN,Population density (people per sq. km of land area),EN.POP.DNST,107.253626999781
Hungary,HUN,Net migration,SM.POP.NETM,29999
Iceland,ISL,Population growth (annual %),SP.POP.GROW,2.34558267643862
Iceland,ISL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Iceland,ISL,Population density (people per sq. km of land area),EN.POP.DNST,3.42543640897756
Iceland,ISL,Net migration,SM.POP.NETM,1900
India,IND,Population growth (annual %),SP.POP.GROW,1.06335942989132
India,IND,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.89165109332806
India,IND,Population density (people per sq. km of land area),EN.POP.DNST,450.24932109956
India,IND,Net migration,SM.POP.NETM,-2663434
Indonesia,IDN,Population growth (annual %),SP.POP.GROW,1.17619742367279
Indonesia,IDN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.98822379714594
Indonesia,IDN,Population density (people per sq. km of land area),EN.POP.DNST,140.957811345717
Indonesia,IDN,Net migration,SM.POP.NETM,-494777
"Iran, Islamic Rep.",IRN,Population growth (annual %),SP.POP.GROW,1.38533380166753
"Iran, Islamic Rep.",IRN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
"Iran, Islamic Rep.",IRN,Population density (people per sq. km of land area),EN.POP.DNST,49.5308627422088
"Iran, Islamic Rep.",IRN,Net migration,SM.POP.NETM,-274998
Iraq,IRQ,Population growth (annual %),SP.POP.GROW,2.54089597268518
Iraq,IRQ,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,16.7023015453705
Iraq,IRQ,Population density (people per sq. km of land area),EN.POP.DNST,86.5016515866288
Iraq,IRQ,Net migration,SM.POP.NETM,39171
Ireland,IRL,Population growth (annual %),SP.POP.GROW,1.08867556062
Ireland,IRL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,1.99649466417209
Ireland,IRL,Population density (people per sq. km of land area),EN.POP.DNST,69.7835389751778
Ireland,IRL,Net migration,SM.POP.NETM,118020
Isle of Man,IMN,Population growth (annual %),SP.POP.GROW,0.376260134981162
Isle of Man,IMN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Isle of Man,IMN,Population density (people per sq. km of land area),EN.POP.DNST,146.684210526316
Isle of Man,IMN,Net migration,SM.POP.NETM,..
Israel,ISR,Population growth (annual %),SP.POP.GROW,1.93872567441099
Israel,ISR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.21473249585414
Israel,ISR,Population density (people per sq. km of land area),EN.POP.DNST,402.647874306839
Israel,ISR,Net migration,SM.POP.NETM,50002
Italy,ITA,Population growth (annual %),SP.POP.GROW,-0.14986111697397
Italy,ITA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.37387512532733
Italy,ITA,Population density (people per sq. km of land area),EN.POP.DNST,205.809169103148
Italy,ITA,Net migration,SM.POP.NETM,744713
Jamaica,JAM,Population growth (annual %),SP.POP.GROW,0.501314741642566
Jamaica,JAM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.29637432054172
Jamaica,JAM,Population density (people per sq. km of land area),EN.POP.DNST,269.69972299169
Jamaica,JAM,Net migration,SM.POP.NETM,-56658
Japan,JPN,Population growth (annual %),SP.POP.GROW,-0.164484036370785
Japan,JPN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.07610645439463
Japan,JPN,Population density (people per sq. km of land area),EN.POP.DNST,347.834834019204
Japan,JPN,Net migration,SM.POP.NETM,357800
Jordan,JOR,Population growth (annual %),SP.POP.GROW,2.39465932202378
Jordan,JOR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.49428625583144
Jordan,JOR,Population density (people per sq. km of land area),EN.POP.DNST,110.225726514981
Jordan,JOR,Net migration,SM.POP.NETM,51099
Kazakhstan,KAZ,Population growth (annual %),SP.POP.GROW,1.36038126908993
Kazakhstan,KAZ,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.62881174478192
Kazakhstan,KAZ,Population density (people per sq. km of land area),EN.POP.DNST,6.68140015557284
Kazakhstan,KAZ,Net migration,SM.POP.NETM,-90000
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2.3564774490698
Kenya,KEN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Kenya,KEN,Population density (people per sq. km of land area),EN.POP.DNST,88.2404083353832
Kenya,KEN,Net migration,SM.POP.NETM,-50000
Kiribati,KIR,Population growth (annual %),SP.POP.GROW,1.43286876361253
Kiribati,KIR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,12.5867979923398
Kiribati,KIR,Population density (people per sq. km of land area),EN.POP.DNST,140.92962962963
Kiribati,KIR,Net migration,SM.POP.NETM,-3999
"Korea, Dem. People's Rep.",PRK,Population growth (annual %),SP.POP.GROW,0.481502958338939
"Korea, Dem. People's Rep.",PRK,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
"Korea, Dem. People's Rep.",PRK,Population density (people per sq. km of land area),EN.POP.DNST,211.193555352545
"Korea, Dem. People's Rep.",PRK,Net migration,SM.POP.NETM,-27013
"Korea, Rep.",KOR,Population growth (annual %),SP.POP.GROW,0.280968018301691
"Korea, Rep.",KOR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.80845370846327
"Korea, Rep.",KOR,Population density (people per sq. km of land area),EN.POP.DNST,526.734806686494
"Korea, Rep.",KOR,Net migration,SM.POP.NETM,58657
Kosovo,XKX,Population growth (annual %),SP.POP.GROW,0.753584842739213
Kosovo,XKX,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Kosovo,XKX,Population density (people per sq. km of land area),EN.POP.DNST,164.508404519151
Kosovo,XKX,Net migration,SM.POP.NETM,..
Kuwait,KWT,Population growth (annual %),SP.POP.GROW,2.47711270117599
Kuwait,KWT,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,23.7705737348219
Kuwait,KWT,Population density (people per sq. km of land area),EN.POP.DNST,227.615151515152
Kuwait,KWT,Net migration,SM.POP.NETM,197600
Kyrgyz Republic,KGZ,Population growth (annual %),SP.POP.GROW,1.93364715643057
Kyrgyz Republic,KGZ,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.31490585541971
Kyrgyz Republic,KGZ,Population density (people per sq. km of land area),EN.POP.DNST,32.3159541188738
Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,-20000
Lao PDR,LAO,Population growth (annual %),SP.POP.GROW,1.5535342498681
Lao PDR,LAO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,13.7093934964249
Lao PDR,LAO,Population density (people per sq. km of land area),EN.POP.DNST,30.1257842287695
Lao PDR,LAO,Net migration,SM.POP.NETM,-73518
Latvia,LVA,Population growth (annual %),SP.POP.GROW,-0.886215573292392
Latvia,LVA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Latvia,LVA,Population density (people per sq. km of land area),EN.POP.DNST,31.2710996618902
Latvia,LVA,Net migration,SM.POP.NETM,-74186
Lebanon,LBN,Population growth (annual %),SP.POP.GROW,1.55307816183349
Lebanon,LBN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,17.786037595921
Lebanon,LBN,Population density (people per sq. km of land area),EN.POP.DNST,666.605376344086
Lebanon,LBN,Net migration,SM.POP.NETM,-150060
Lesotho,LSO,Population growth (annual %),SP.POP.GROW,0.791589928337923
Lesotho,LSO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,13.4597061053832
Lesotho,LSO,Population density (people per sq. km of land area),EN.POP.DNST,68.8910408432148
Lesotho,LSO,Net migration,SM.POP.NETM,-50234
Liberia,LBR,Population growth (annual %),SP.POP.GROW,2.48555913100141
Liberia,LBR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Liberia,LBR,Population density (people per sq. km of land area),EN.POP.DNST,48.8187707641196
Liberia,LBR,Net migration,SM.POP.NETM,-25000
Libya,LBY,Population growth (annual %),SP.POP.GROW,1.35493226540367
Libya,LBY,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,13.2653196247337
Libya,LBY,Population density (people per sq. km of land area),EN.POP.DNST,3.74002466553758
Libya,LBY,Net migration,SM.POP.NETM,-9997
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.397562145691811
Liechtenstein,LIE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Liechtenstein,LIE,Population density (people per sq. km of land area),EN.POP.DNST,236.28125
Liechtenstein,LIE,Net migration,SM.POP.NETM,..
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,-1.39832220092102
Lithuania,LTU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Lithuania,LTU,Population density (people per sq. km of land area),EN.POP.DNST,45.1525837710126
Lithuania,LTU,Net migration,SM.POP.NETM,-163902
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,2.43097641776115
Luxembourg,LUX,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.85857921363958
Luxembourg,LUX,Population density (people per sq. km of land area),EN.POP.DNST,245.405761316872
Luxembourg,LUX,Net migration,SM.POP.NETM,48704
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,1.57911395438072
"Macao SAR, China",MAC,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.03939793705155
"Macao SAR, China",MAC,Population density (people per sq. km of land area),EN.POP.DNST,20213.5714285714
"Macao SAR, China",MAC,Net migration,SM.POP.NETM,25000
Madagascar,MDG,Population growth (annual %),SP.POP.GROW,2.67980999725449
Madagascar,MDG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,7.10295415407371
Madagascar,MDG,Population density (people per sq. km of land area),EN.POP.DNST,43.9506892402888
Madagascar,MDG,Net migration,SM.POP.NETM,-7500
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.66644645704802
Malawi,MWI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.31545499849776
Malawi,MWI,Population density (people per sq. km of land area),EN.POP.DNST,187.422496817989
Malawi,MWI,Net migration,SM.POP.NETM,-80263
Malaysia,MYS,Population growth (annual %),SP.POP.GROW,1.3594891710441
Malaysia,MYS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.02091248805984
Malaysia,MYS,Population density (people per sq. km of land area),EN.POP.DNST,94.6725155988434
Malaysia,MYS,Net migration,SM.POP.NETM,249999
Maldives,MDV,Population growth (annual %),SP.POP.GROW,4.30006271362034
Maldives,MDV,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,10.5387067454168
Maldives,MDV,Population density (people per sq. km of land area),EN.POP.DNST,1654.66
Maldives,MDV,Net migration,SM.POP.NETM,56851
Mali,MLI,Population growth (annual %),SP.POP.GROW,2.99919867073212
Mali,MLI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.92884962968265
Mali,MLI,Population density (people per sq. km of land area),EN.POP.DNST,15.1717593161721
Mali,MLI,Net migration,SM.POP.NETM,-200000
Malta,MLT,Population growth (annual %),SP.POP.GROW,2.73866285589301
Malta,MLT,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Malta,MLT,Population density (people per sq. km of land area),EN.POP.DNST,1462.496875
Malta,MLT,Net migration,SM.POP.NETM,4501
Marshall Islands,MHL,Population growth (annual %),SP.POP.GROW,0.57006787881311
Marshall Islands,MHL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,15.3572684951523
Marshall Islands,MHL,Population density (people per sq. km of land area),EN.POP.DNST,322.516666666667
Marshall Islands,MHL,Net migration,SM.POP.NETM,..
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,2.81923462214867
Mauritania,MRT,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.15272505927326
Mauritania,MRT,Population density (people per sq. km of land area),EN.POP.DNST,4.15502280003881
Mauritania,MRT,Net migration,SM.POP.NETM,25002
Mauritius,MUS,Population growth (annual %),SP.POP.GROW,0.0901868114668421
Mauritius,MUS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,10.2936479716104
Mauritius,MUS,Population density (people per sq. km of land area),EN.POP.DNST,622.962068965517
Mauritius,MUS,Net migration,SM.POP.NETM,0
Mexico,MEX,Population growth (annual %),SP.POP.GROW,1.16396694963579
Mexico,MEX,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.97878422896738
Mexico,MEX,Population density (people per sq. km of land area),EN.POP.DNST,64.1875181974845
Mexico,MEX,Net migration,SM.POP.NETM,-300000
"Micronesia, Fed. Sts.",FSM,Population growth (annual %),SP.POP.GROW,1.1241750321301
"Micronesia, Fed. Sts.",FSM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
"Micronesia, Fed. Sts.",FSM,Population density (people per sq. km of land area),EN.POP.DNST,159.23
"Micronesia, Fed. Sts.",FSM,Net migration,SM.POP.NETM,-2999
Moldova,MDA,Population growth (annual %),SP.POP.GROW,-1.69193257910835
Moldova,MDA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,7.0775362723734
Moldova,MDA,Population density (people per sq. km of land area),EN.POP.DNST,95.9083092561005
Moldova,MDA,Net migration,SM.POP.NETM,-6935
Monaco,MCO,Population growth (annual %),SP.POP.GROW,0.842253416153839
Monaco,MCO,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Monaco,MCO,Population density (people per sq. km of land area),EN.POP.DNST,18940.3058707449
Monaco,MCO,Net migration,SM.POP.NETM,..
Mongolia,MNG,Population growth (annual %),SP.POP.GROW,1.86159804139428
Mongolia,MNG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.47410191948952
Mongolia,MNG,Population density (people per sq. km of land area),EN.POP.DNST,1.9995358500603
Mongolia,MNG,Net migration,SM.POP.NETM,-4262
Montenegro,MNE,Population growth (annual %),SP.POP.GROW,0.011247907097728
Montenegro,MNE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.89243172552071
Montenegro,MNE,Population density (people per sq. km of land area),EN.POP.DNST,46.2730855018587
Montenegro,MNE,Net migration,SM.POP.NETM,-2400
Morocco,MAR,Population growth (annual %),SP.POP.GROW,1.28696129912794
Morocco,MAR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.72815313778767
Morocco,MAR,Population density (people per sq. km of land area),EN.POP.DNST,79.7249764732243
Morocco,MAR,Net migration,SM.POP.NETM,-257096
Mozambique,MOZ,Population growth (annual %),SP.POP.GROW,2.90067226108777
Mozambique,MOZ,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.88587645392198
Mozambique,MOZ,Population density (people per sq. km of land area),EN.POP.DNST,36.4315051247489
Mozambique,MOZ,Net migration,SM.POP.NETM,-25000
Myanmar,MMR,Population growth (annual %),SP.POP.GROW,0.633900885128423
Myanmar,MMR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,0.736781682658492
Myanmar,MMR,Population density (people per sq. km of land area),EN.POP.DNST,81.7759478545934
Myanmar,MMR,Net migration,SM.POP.NETM,-816564
Namibia,NAM,Population growth (annual %),SP.POP.GROW,1.87285953996
Namibia,NAM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,1.18803227680285
Namibia,NAM,Population density (people per sq. km of land area),EN.POP.DNST,2.918319182791
Namibia,NAM,Net migration,SM.POP.NETM,-24030
Nauru,NRU,Population growth (annual %),SP.POP.GROW,0.978583648861987
Nauru,NRU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.82845833623804
Nauru,NRU,Population density (people per sq. km of land area),EN.POP.DNST,528.85
Nauru,NRU,Net migration,SM.POP.NETM,..
Nepal,NPL,Population growth (annual %),SP.POP.GROW,1.34529588901848
Nepal,NPL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,7.49339114502705
Nepal,NPL,Population density (people per sq. km of land area),EN.POP.DNST,192.763739100105
Nepal,NPL,Net migration,SM.POP.NETM,208549
Netherlands,NLD,Population growth (annual %),SP.POP.GROW,0.591203366164118
Netherlands,NLD,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.0776928920295
Netherlands,NLD,Population density (people per sq. km of land area),EN.POP.DNST,508.8
Netherlands,NLD,Net migration,SM.POP.NETM,80000
New Caledonia,NCL,Population growth (annual %),SP.POP.GROW,0.241030987183191
New Caledonia,NCL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
New Caledonia,NCL,Population density (people per sq. km of land area),EN.POP.DNST,14.7702407002188
New Caledonia,NCL,Net migration,SM.POP.NETM,2510
New Zealand,NZL,Population growth (annual %),SP.POP.GROW,2.08872272281936
New Zealand,NZL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.32540276127004
New Zealand,NZL,Population density (people per sq. km of land area),EN.POP.DNST,18.2811135163875
New Zealand,NZL,Net migration,SM.POP.NETM,74403
Nicaragua,NIC,Population growth (annual %),SP.POP.GROW,1.27473066409974
Nicaragua,NIC,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.81555754921104
Nicaragua,NIC,Population density (people per sq. km of land area),EN.POP.DNST,53.0566976898787
Nicaragua,NIC,Net migration,SM.POP.NETM,-106360
Niger,NER,Population growth (annual %),SP.POP.GROW,3.83900131197354
Niger,NER,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.08475171845022
Niger,NER,Population density (people per sq. km of land area),EN.POP.DNST,17.0540680508408
Niger,NER,Net migration,SM.POP.NETM,20001
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2.60766705440125
Nigeria,NGA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,16.0874482560529
Nigeria,NGA,Population density (people per sq. km of land area),EN.POP.DNST,209.573489464958
Nigeria,NGA,Net migration,SM.POP.NETM,-300000
North Macedonia,MKD,Population growth (annual %),SP.POP.GROW,0.0600565702880887
North Macedonia,MKD,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.97581964700313
North Macedonia,MKD,Population density (people per sq. km of land area),EN.POP.DNST,82.5533703409992
North Macedonia,MKD,Net migration,SM.POP.NETM,-4999
Northern Mariana Islands,MNP,Population growth (annual %),SP.POP.GROW,0.649283813705843
Northern Mariana Islands,MNP,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Northern Mariana Islands,MNP,Population density (people per sq. km of land area),EN.POP.DNST,122.941304347826
Northern Mariana Islands,MNP,Net migration,SM.POP.NETM,..
Norway,NOR,Population growth (annual %),SP.POP.GROW,0.807673181884948
Norway,NOR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,13.4319493632438
Norway,NOR,Population density (people per sq. km of land area),EN.POP.DNST,14.4525778384356
Norway,NOR,Net migration,SM.POP.NETM,140000
Oman,OMN,Population growth (annual %),SP.POP.GROW,4.08380596990524
Oman,OMN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,8.33781495299632
Oman,OMN,Population density (people per sq. km of land area),EN.POP.DNST,15.075689822294
Oman,OMN,Net migration,SM.POP.NETM,437000
Pakistan,PAK,Population growth (annual %),SP.POP.GROW,2.07757838708128
Pakistan,PAK,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.14123982734923
Pakistan,PAK,Population density (people per sq. km of land area),EN.POP.DNST,269.699836550436
Pakistan,PAK,Net migration,SM.POP.NETM,-1166895
Palau,PLW,Population growth (annual %),SP.POP.GROW,0.512287550402811
Palau,PLW,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,11.2656023340399
Palau,PLW,Population density (people per sq. km of land area),EN.POP.DNST,38.7152173913043
Palau,PLW,Net migration,SM.POP.NETM,..
Panama,PAN,Population growth (annual %),SP.POP.GROW,1.7115446013077
Panama,PAN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.20015546897753
Panama,PAN,Population density (people per sq. km of land area),EN.POP.DNST,55.4069616837561
Panama,PAN,Net migration,SM.POP.NETM,56000
Papua New Guinea,PNG,Population growth (annual %),SP.POP.GROW,1.99017879640459
Papua New Guinea,PNG,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.61638675770932
Papua New Guinea,PNG,Population density (people per sq. km of land area),EN.POP.DNST,18.6327739257166
Papua New Guinea,PNG,Net migration,SM.POP.NETM,-3999
Paraguay,PRY,Population growth (annual %),SP.POP.GROW,1.30717021817901
Paraguay,PRY,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.36042383846631
Paraguay,PRY,Population density (people per sq. km of land area),EN.POP.DNST,17.2843141203121
Paraguay,PRY,Net migration,SM.POP.NETM,-82780
Peru,PER,Population growth (annual %),SP.POP.GROW,1.66192767329954
Peru,PER,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.18271595148155
Peru,PER,Population density (people per sq. km of land area),EN.POP.DNST,24.56585859375
Peru,PER,Net migration,SM.POP.NETM,495345
Philippines,PHL,Population growth (annual %),SP.POP.GROW,1.44527760718223
Philippines,PHL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,10.5291162494124
Philippines,PHL,Population density (people per sq. km of land area),EN.POP.DNST,352.728044404199
Philippines,PHL,Net migration,SM.POP.NETM,-335758
Poland,POL,Population growth (annual %),SP.POP.GROW,0.0124800985844923
Poland,POL,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.53841357368502
Poland,POL,Population density (people per sq. km of land area),EN.POP.DNST,124.0237303635
Poland,POL,Net migration,SM.POP.NETM,-146976
Portugal,PRT,Population growth (annual %),SP.POP.GROW,-0.243889410358812
Portugal,PRT,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.99384656122452
Portugal,PRT,Population density (people per sq. km of land area),EN.POP.DNST,112.441815784188
Portugal,PRT,Net migration,SM.POP.NETM,-30001
Puerto Rico,PRI,Population growth (annual %),SP.POP.GROW,-2.4180176217623
Puerto Rico,PRI,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Puerto Rico,PRI,Population density (people per sq. km of land area),EN.POP.DNST,374.891319052988
Puerto Rico,PRI,Net migration,SM.POP.NETM,-489932
Qatar,QAT,Population growth (annual %),SP.POP.GROW,2.61575105799256
Qatar,QAT,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,19.7515515878099
Qatar,QAT,Population density (people per sq. km of land area),EN.POP.DNST,237.138990426458
Qatar,QAT,Net migration,SM.POP.NETM,200000
Romania,ROU,Population growth (annual %),SP.POP.GROW,-0.578007015146885
Romania,ROU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,5.24430009863523
Romania,ROU,Population density (people per sq. km of land area),EN.POP.DNST,85.1387126216968
Romania,ROU,Net migration,SM.POP.NETM,-369997
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,0.106870569429971
Russian Federation,RUS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,10.8737084644597
Russian Federation,RUS,Population density (people per sq. km of land area),EN.POP.DNST,8.8232207375402
Russian Federation,RUS,Net migration,SM.POP.NETM,912279
Rwanda,RWA,Population growth (annual %),SP.POP.GROW,2.63976245281264
Rwanda,RWA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,13.6455747808998
Rwanda,RWA,Population density (people per sq. km of land area),EN.POP.DNST,485.648966355898
Rwanda,RWA,Net migration,SM.POP.NETM,-44998
Samoa,WSM,Population growth (annual %),SP.POP.GROW,0.419597535845907
Samoa,WSM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,0.950797352654094
Samoa,WSM,Population density (people per sq. km of land area),EN.POP.DNST,69.0310954063604
Samoa,WSM,Net migration,SM.POP.NETM,-14013
San Marino,SMR,Population growth (annual %),SP.POP.GROW,0.500194570138155
San Marino,SMR,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
San Marino,SMR,Population density (people per sq. km of land area),EN.POP.DNST,561.183333333333
San Marino,SMR,Net migration,SM.POP.NETM,..
Sao Tome and Principe,STP,Population growth (annual %),SP.POP.GROW,1.88401091022563
Sao Tome and Principe,STP,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..
Sao Tome and Principe,STP,Population density (people per sq. km of land area),EN.POP.DNST,215.714583333333
Sao Tome and Principe,STP,Net migration,SM.POP.NETM,-8401
Saudi Arabia,SAU,Population growth (annual %),SP.POP.GROW,2.00706639082931
Saudi Arabia,SAU,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.4392543227334
Saudi Arabia,SAU,Population density (people per sq. km of land area),EN.POP.DNST,15.3981192637078
Saudi Arabia,SAU,Net migration,SM.POP.NETM,674895
Senegal,SEN,Population growth (annual %),SP.POP.GROW,2.80057660226301
Senegal,SEN,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.93363745423424
Senegal,SEN,Population density (people per sq. km of land area),EN.POP.DNST,80.0880590037916
Senegal,SEN,Net migration,SM.POP.NETM,-100001
Serbia,SRB,Population growth (annual %),SP.POP.GROW,-0.532191341024444
Serbia,SRB,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.12400241581043
Serbia,SRB,Population density (people per sq. km of land area),EN.POP.DNST,80.275074319689
Serbia,SRB,Net migration,SM.POP.NETM,20000
Seychelles,SYC,Population growth (annual %),SP.POP.GROW,1.22403375818123
Seychelles,SYC,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,6.09338162580584
Seychelles,SYC,Population density (people per sq. km of land area),EN.POP.DNST,208.354347826087
Seychelles,SYC,Net migration,SM.POP.NETM,-1000
Sierra Leone,SLE,Population growth (annual %),SP.POP.GROW,2.15406938155801
Sierra Leone,SLE,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,3.5125047942038
Sierra Leone,SLE,Population density (people per sq. km of land area),EN.POP.DNST,103.746564145193
Sierra Leone,SLE,Net migration,SM.POP.NETM,-21000
Singapore,SGP,Population growth (annual %),SP.POP.GROW,0.0885954699924263
Singapore,SGP,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,4.95097518547465
Singapore,SGP,Population density (people per sq. km of land area),EN.POP.DNST,7915.73060648801
Singapore,SGP,Net migration,SM.POP.NETM,135142
Sint Maarten (Dutch part),SXM,Population growth (annual %),SP.POP.GROW,1.5023313732953
Sint Maarten (Dutch part),SXM,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,9.73667686485011
Sint Maarten (Dutch part),SXM,Population density (people per sq. km of land area),EN.POP.DNST,1193.35294117647
Sint Maarten (Dutch part),SXM,Net migration,SM.POP.NETM,..
Slovak Republic,SVK,Population growth (annual %),SP.POP.GROW,0.155178995687406
Slovak Republic,SVK,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,2.9328311377712
Slovak Republic,SVK,Population density (people per sq. km of land area),EN.POP.DNST,113.128785357737
Slovak Republic,SVK,Net migration,SM.POP.NETM,7423
Slovenia,SVN,Population growth (annual %),SP.POP.GROW,0.0651590392490152
